tournament,team,capital_raw,coverage,capital_z
wc2014,Algeria,1594.1927,0.913,-0.5116
wc2014,Argentina,1763.5018,0.913,1.0814
wc2014,Australia,1512.9805,0.6087,-1.2757
wc2014,Belgium,1774.8344,0.913,1.188
wc2014,Bosnia and Herzegovina,1569.0641,0.7826,-0.748
wc2014,Brazil,1793.0372,0.913,1.3593
wc2014,Cameroon,1590.171,0.6087,-0.5495
wc2014,Chile,1604.855,0.7826,-0.4113
wc2014,Colombia,1642.1602,0.913,-0.0603
wc2014,Costa Rica,1518.366,0.8261,-1.2251
wc2014,Croatia,1642.2237,0.7826,-0.0597
wc2014,Ecuador,1609.3474,0.8261,-0.369
wc2014,England,1783.0261,0.7826,1.2651
wc2014,France,1767.9276,0.913,1.1231
wc2014,Germany,1885.545,1.0,2.2297
wc2014,Ghana,1591.6907,0.7826,-0.5352
wc2014,Greece,1604.1381,0.8696,-0.418
wc2014,Honduras,1519.6675,0.913,-1.2128
wc2014,Iran,1529.8439,0.6957,-1.1171
wc2014,Italy,1746.2163,0.913,0.9188
wc2014,Ivory Coast,1637.2126,0.8696,-0.1068
wc2014,Japan,1591.705,0.9565,-0.535
wc2014,Mexico,1620.4166,0.6957,-0.2649
wc2014,Netherlands,1672.633,1.0,0.2264
wc2014,Nigeria,1529.6737,0.6522,-1.1187
wc2014,Portugal,1752.5337,0.913,0.9782
wc2014,Russia,1538.828,0.2609,-1.0325
wc2014,South Korea,1559.1501,0.6957,-0.8413
wc2014,Spain,1910.8293,0.8696,2.4676
wc2014,Switzerland,1648.3492,0.6522,-0.0021
wc2014,United States,1568.7181,0.8696,-0.7513
wc2014,Uruguay,1681.3275,0.8261,0.3082
wc2018,Argentina,1777.9565,0.913,1.0177
wc2018,Australia,1511.8757,0.8696,-1.1665
wc2018,Belgium,1773.2493,0.8696,0.979
wc2018,Brazil,1868.0907,0.9565,1.7575
wc2018,Colombia,1715.9898,1.0,0.509
wc2018,Costa Rica,1537.3377,0.8696,-0.9575
wc2018,Croatia,1756.2361,0.9565,0.8394
wc2018,Denmark,1644.6411,0.9565,-0.0767
wc2018,Egypt,1577.302,0.8696,-0.6294
wc2018,England,1845.4604,1.0,1.5718
wc2018,France,1870.324,1.0,1.7759
wc2018,Germany,1847.2397,1.0,1.5864
wc2018,Iceland,1505.9725,0.913,-1.2149
wc2018,Iran,1538.2677,0.913,-0.9498
wc2018,Japan,1601.7029,1.0,-0.4291
wc2018,Mexico,1623.0094,1.0,-0.2542
wc2018,Morocco,1618.1522,0.913,-0.2941
wc2018,Nigeria,1548.9164,0.7826,-0.8624
wc2018,Panama,1473.856,0.913,-1.4785
wc2018,Peru,1515.1254,0.6087,-1.1398
wc2018,Poland,1624.3857,0.8261,-0.2429
wc2018,Portugal,1701.6079,0.913,0.391
wc2018,Russia,1571.0135,0.5652,-0.681
wc2018,Saudi Arabia,1628.8965,1.0,-0.2059
wc2018,Senegal,1596.7653,1.0,-0.4696
wc2018,Serbia,1666.3634,1.0,0.1017
wc2018,South Korea,1519.859,0.6957,-1.1009
wc2018,Spain,1924.9161,1.0,2.224
wc2018,Sweden,1593.9189,0.9565,-0.493
wc2018,Switzerland,1670.4076,1.0,0.1349
wc2018,Tunisia,1562.5213,0.9565,-0.7507
wc2018,Uruguay,1715.9767,1.0,0.5089
wc2022,Argentina,1778.7554,0.9615,0.9089
wc2022,Australia,1490.8354,0.9231,-1.748
wc2022,Belgium,1744.8077,1.0,0.5957
wc2022,Brazil,1855.3779,0.9615,1.616
wc2022,Cameroon,1609.7889,0.8846,-0.6503
wc2022,Canada,1526.8196,0.9615,-1.4159
wc2022,Costa Rica,1542.4665,0.8077,-1.2715
wc2022,Croatia,1724.5737,0.9615,0.409
wc2022,Denmark,1720.1854,1.0,0.3685
wc2022,Ecuador,1618.8584,0.9231,-0.5666
wc2022,England,1887.3987,1.0,1.9115
wc2022,France,1860.4289,1.0,1.6626
wc2022,Germany,1865.0222,1.0,1.705
wc2022,Ghana,1638.539,1.0,-0.385
wc2022,Iran,1592.8001,0.76,-0.807
wc2022,Japan,1632.7349,1.0,-0.4385
wc2022,Mexico,1650.3787,0.9615,-0.2757
wc2022,Morocco,1599.6173,1.0,-0.7441
wc2022,Netherlands,1785.9338,1.0,0.9752
wc2022,Poland,1638.26,0.9615,-0.3875
wc2022,Portugal,1830.5884,1.0,1.3873
wc2022,Qatar,1598.3481,1.0,-0.7558
wc2022,Saudi Arabia,1639.2185,1.0,-0.3787
wc2022,Senegal,1668.9061,1.0,-0.1047
wc2022,Serbia,1655.3202,1.0,-0.2301
wc2022,South Korea,1585.3541,0.7692,-0.8758
wc2022,Spain,1850.7058,1.0,1.5729
wc2022,Switzerland,1679.4811,1.0,-0.0072
wc2022,Tunisia,1542.5794,0.9231,-1.2705
wc2022,United States,1634.8022,1.0,-0.4195
wc2022,Uruguay,1720.4389,0.9615,0.3708
wc2022,Wales,1598.8844,0.8846,-0.7509
euro2016,Albania,1526.6423,0.9565,-0.9519
euro2016,Austria,1644.4933,0.9565,0.0015
euro2016,Belgium,1733.7946,0.9565,0.724
euro2016,Croatia,1735.187,0.9565,0.7353
euro2016,Czech Republic,1629.138,0.9565,-0.1227
euro2016,England,1791.3126,1.0,1.1893
euro2016,France,1783.5966,0.9565,1.1269
euro2016,Germany,1842.9272,1.0,1.6069
euro2016,Hungary,1415.7293,1.0,-1.8493
euro2016,Iceland,1491.0156,0.8696,-1.2402
euro2016,Italy,1787.7414,1.0,1.1604
euro2016,Northern Ireland,1466.6696,0.6522,-1.4371
euro2016,Poland,1600.4351,1.0,-0.3549
euro2016,Portugal,1741.3265,1.0,0.7849
euro2016,Republic of Ireland,1544.828,0.6957,-0.8048
euro2016,Romania,1538.5595,0.6957,-0.8555
euro2016,Russia,1566.8143,0.4783,-0.6269
euro2016,Slovakia,1547.5923,0.8696,-0.7824
euro2016,Spain,1914.2538,1.0,2.184
euro2016,Sweden,1585.515,0.9565,-0.4756
euro2016,Switzerland,1670.2294,1.0,0.2097
euro2016,Turkey,1622.1964,1.0,-0.1789
euro2016,Ukraine,1678.5263,1.0,0.2769
euro2016,Wales,1604.8244,0.8261,-0.3194
euro2020,Austria,1694.5639,1.0,0.1011
euro2020,Belgium,1738.6282,1.0,0.4919
euro2020,Croatia,1715.4002,0.9231,0.2859
euro2020,Czech Republic,1635.4092,0.9615,-0.4236
euro2020,Denmark,1693.2339,1.0,0.0893
euro2020,England,1848.0187,0.963,1.4622
euro2020,Finland,1492.09,0.8077,-1.6949
euro2020,France,1870.8627,1.0,1.6648
euro2020,Germany,1876.1184,1.0,1.7114
euro2020,Hungary,1539.5292,1.0,-1.2741
euro2020,Italy,1788.9566,1.0,0.9383
euro2020,Netherlands,1755.9394,0.96,0.6454
euro2020,North Macedonia,1531.3391,0.8462,-1.3467
euro2020,Poland,1598.0236,0.88,-0.7552
euro2020,Portugal,1797.4587,1.0,1.0137
euro2020,Russia,1552.803,0.5769,-1.1563
euro2020,Scotland,1607.1649,0.9615,-0.6742
euro2020,Slovakia,1576.9785,1.0,-0.9419
euro2020,Spain,1863.2052,1.0,1.5969
euro2020,Sweden,1585.8371,0.8846,-0.8633
euro2020,Switzerland,1696.0699,1.0,0.1144
euro2020,Turkey,1631.0901,0.9615,-0.4619
euro2020,Ukraine,1678.7225,1.0,-0.0395
euro2020,Wales,1628.6653,0.8462,-0.4835
euro2024,Albania,1570.1039,0.9231,-0.9967
euro2024,Austria,1661.0952,0.9615,-0.2223
euro2024,Belgium,1731.5453,1.0,0.3772
euro2024,Croatia,1680.1191,0.9615,-0.0604
euro2024,Czech Republic,1726.4826,1.0,0.3341
euro2024,Denmark,1717.9425,1.0,0.2615
euro2024,England,1842.7018,1.0,1.3232
euro2024,France,1859.8619,1.0,1.4692
euro2024,Georgia,1488.3531,0.9231,-1.6924
euro2024,Germany,1860.8061,1.0,1.4773
euro2024,Hungary,1528.9749,0.9615,-1.3467
euro2024,Italy,1829.0437,1.0,1.207
euro2024,Netherlands,1807.9521,1.0,1.0275
euro2024,Poland,1641.7003,0.8846,-0.3874
euro2024,Portugal,1821.4639,1.0,1.1425
euro2024,Romania,1505.6486,0.7308,-1.5452
euro2024,Scotland,1575.4766,1.0,-0.951
euro2024,Serbia,1670.7165,0.8846,-0.1405
euro2024,Slovakia,1578.9969,0.9615,-0.921
euro2024,Slovenia,1519.2375,1.0,-1.4296
euro2024,Spain,1835.3823,1.0,1.2609
euro2024,Switzerland,1698.9186,0.9231,0.0996
euro2024,Turkey,1688.8217,0.9615,0.0136
euro2024,Ukraine,1651.9396,1.0,-0.3002
wc2026,Algeria,1600.4931,0.9615,-0.257
wc2026,Argentina,1782.3835,1.0,1.1714
wc2026,Australia,1484.8048,0.8846,-1.1655
wc2026,Austria,1661.8028,1.0,0.2245
wc2026,Belgium,1791.4142,1.0,1.2424
wc2026,Bosnia and Herzegovina,1517.7549,1.0,-0.9067
wc2026,Brazil,1794.6102,1.0,1.2675
wc2026,Canada,1553.3935,0.9615,-0.6269
wc2026,Cape Verde,1486.2498,0.7308,-1.1541
wc2026,Colombia,1666.8958,0.9615,0.2645
wc2026,Croatia,1685.778,1.0,0.4128
wc2026,Curaçao,1418.8461,0.6923,-1.6835
wc2026,Czech Republic,1683.9903,1.0,0.3987
wc2026,DR Congo,1552.6197,0.8846,-0.6329
wc2026,Ecuador,1662.3225,0.9615,0.2286
wc2026,Egypt,1619.1257,0.9615,-0.1107
wc2026,England,1906.2069,1.0,2.1438
wc2026,France,1874.4448,1.0,1.8944
wc2026,Germany,1853.0688,1.0,1.7265
wc2026,Ghana,1599.7352,0.9231,-0.2629
wc2026,Haiti,1469.7707,0.7692,-1.2836
wc2026,Iran,1506.8848,0.8077,-0.9921
wc2026,Iraq,1450.1802,0.6154,-1.4374
wc2026,Ivory Coast,1659.7542,0.9615,0.2084
wc2026,Japan,1617.6163,1.0,-0.1225
wc2026,Jordan,1454.3529,0.7308,-1.4046
wc2026,Mexico,1600.1826,0.8846,-0.2594
wc2026,Morocco,1693.3759,0.9615,0.4724
wc2026,Netherlands,1807.8777,1.0,1.3716
wc2026,New Zealand,1497.1356,0.6923,-1.0687
wc2026,Norway,1713.6174,0.9615,0.6314
wc2026,Panama,1442.0092,0.7692,-1.5016
wc2026,Paraguay,1601.2203,0.8077,-0.2513
wc2026,Portugal,1831.8538,1.0,1.5599
wc2026,Qatar,1464.174,0.9615,-1.3275
wc2026,Saudi Arabia,1642.0572,0.9615,0.0694
wc2026,Scotland,1640.1993,0.9615,0.0548
wc2026,Senegal,1726.2698,1.0,0.7308
wc2026,South Africa,1568.183,1.0,-0.5107
wc2026,South Korea,1567.0385,0.7692,-0.5197
wc2026,Spain,1865.15,1.0,1.8214
wc2026,Sweden,1675.1395,0.9615,0.3292
wc2026,Switzerland,1672.6148,1.0,0.3094
wc2026,Tunisia,1526.1301,1.0,-0.841
wc2026,Turkey,1698.8571,0.9615,0.5155
wc2026,United States,1633.094,0.9615,-0.001
wc2026,Uruguay,1705.4206,0.9231,0.567
wc2026,Uzbekistan,1468.2714,0.4615,-1.2953
