club,national_teams,slug
1860 Munich,"Austria,Japan",
ADO Den Haag,Nigeria,
AEK Athens,"Croatia,Iran,Mexico,Poland,Serbia,Switzerland",
AEL,"DR Congo,Finland",
AFC Wimbledon,Wales,
APOEL,"Australia,Georgia,Slovenia",
AS FAR,Morocco,
AaB,Peru,
Aalesund,Costa Rica,
Académica de Coimbra,Algeria,
Akademija Pandev,North Macedonia,
Akron Tolyatti,Cape Verde,
Al Bataeh,"Cape Verde,Uzbekistan",
Al Batin,Tunisia,
Al Dhafra,Iraq,
Al Raed,Egypt,
Al-Ahli Doha,Iran,
Al-Fayha,Panama,
Al-Karma,"Iraq,Jordan",
Al-Kuwait,Iran,
Al-Najma,"Egypt,Iraq",
Al-Okhdood,"Georgia,Romania",
Al-Quwa Al-Jawiya,Jordan,
Al-Sailiya,"Jordan,Romania",
Al-Tai,Cameroon,
Al-Talaba,Iraq,
Al-Ula,Saudi Arabia,
Alavés,"Romania,Sweden",
Albirex Niigata,Australia,
Asan Mugunghwa,South Korea,
Ascoli,Slovakia,
Ashdod,Nigeria,
Astana,Bosnia and Herzegovina,
Astra Giurgiu,Romania,
Athletico Paranaense,"Colombia,Uruguay",
Atlanta United,"Georgia,Poland",
Atlanta United FC,"Argentina,Paraguay",
Atlético Junior,Peru,
Baniyas,"Albania,Uzbekistan",
Barnsley,"Canada,Poland",
Baumit Jablonec,Slovakia,
Beijing Sinobo Guoan,Brazil,
Beveren,Curaçao,
Braintree Town,New Zealand,
Bristol City,"Czech Republic,Ghana,Hungary,Iceland,Scotland",
Bristol Rovers,Finland,
Bukhara,Uzbekistan,
CSKA Moscow,"Croatia,Nigeria,Russia,Sweden",
Castellón,"Australia,DR Congo",
Chambly,North Macedonia,
Changchun Yatai,Nigeria,
Charleroi,"Algeria,Iran,Ivory Coast,North Macedonia",
Charlton Athletic,"Iceland,Iran,Scotland,Wales",
Chippa United,Nigeria,
Chivas USA,"Ecuador,Honduras",
Châteauroux,Tunisia,
Cittadella,Albania,
Clermont,"Ghana,Poland",
Colombe Sportive,Cameroon,
Colorado Springs Switchbacks FC,Haiti,
Como,"Albania,Argentina,Croatia,Senegal",
Cosmos Koblenz,Haiti,
Coventry City,"Ghana,United States",
Cracovia,"Georgia,Iraq,Poland",
Cultural Leonesa,Qatar,
Dalian Professional,Sweden,
Dalian Yifang,"Belgium,Portugal",
Damac,Romania,
Deinze,Canada,
Den Bosch,Curaçao,
Dender,"Canada,Iran",
Deportivo Fabril,Panama,
Derby County,"Norway,Poland,Republic of Ireland,Scotland,Sweden",
Dibba,"Iraq,Uzbekistan",
Doncaster Rovers,"Northern Ireland,Wales",
Doxa Katokopias,North Macedonia,
Dynamo Makhachkala,Tunisia,
Dynamo Moscow,"Cameroon,Ecuador,Mexico,Paraguay,Russia,Slovakia",
El Paso Locomotive FC,Haiti,
Esbjerg,Finland,
Estrela Amadora,Cape Verde,
Estudiantes,Uruguay,
Eupen,"Ghana,Senegal",
FCSB,"Cape Verde,Romania",
Fleetwood Town,Northern Ireland,
Foolad,Iran,
GIF Sundsvall,Iceland,
Gaziantep,"Bosnia and Herzegovina,Romania",
Gaziantepspor,Bosnia and Herzegovina,
Gillingham,Wales,
Grasshopper,"Australia,Sweden,Switzerland",
Grasshoppers,Albania,
Guangzhou City,Sweden,
Guangzhou Evergrande,South Korea,
Guangzhou R&F,South Korea,
Guizhou Renhe,Bosnia and Herzegovina,
HJK,Finland,
Haladás,Hungary,
Hamilton Academical,Northern Ireland,
Hatayspor,Canada,
Hatta,Slovakia,
Hebei China Fortune,Argentina,
Heracles Almelo,Australia,
IR Tanger,Morocco,
Independiente del Valle,Ecuador,
Inverness Caledonian Thistle,Wales,
Iğdır,"Cape Verde,Curaçao",
Jeonbuk Hyundai Motors,"Australia,South Korea",
Kalba,Iran,
Kardemir Karabükspor,Iceland,
Karlsruher SC,"Bosnia and Herzegovina,Georgia",
Kifisia,"Curaçao,Ecuador",
Kuwait SC,Tunisia,
Lokeren,"Iceland,Ivory Coast",
Lokomotiv Moscow,"Albania,Croatia,Mexico,Peru,Poland,Portugal,Russia,Slovakia",
Ludogorets Razgrad,"Cape Verde,Poland,Romania,Switzerland",
Lugo,Costa Rica,
Marítimo,Iran,
Miami FC,Curaçao,
Millwall,"Australia,New Zealand,Northern Ireland",
Milton Keynes Dons,"Northern Ireland,Wales",
Montana,Cape Verde,
Montreal Impact,Belgium,
Morelia,"Ecuador,Peru",
Muaither,Romania,
Municipal Grecia,Costa Rica,
Nasaf,Uzbekistan,
Neftchi Fergana,Uzbekistan,
Newcastle Jets,"Australia,New Zealand",
Noah,DR Congo,
Notts County,Northern Ireland,
Numancia,Morocco,
Omonia,"Cape Verde,Hungary,Iran,Slovakia",
Oviedo,"Egypt,Ghana,Uruguay",
PAS Giannina,Albania,
Pakhtakor,"Iraq,Uzbekistan",
Pari Nizhny Novgorod,Panama,
Parma,"Australia,Denmark,Ghana,Hungary,Italy,Japan,Romania,Slovakia,Uruguay",
Partizan,"Hungary,Serbia",
Partizani,"Albania,North Macedonia",
Persib,Iraq,
Pescara,Albania,
Peterborough United,New Zealand,
Ponferradina,Iran,
Port Vale,New Zealand,
Preston North End,Australia,
Puerto Cabello,Panama,
Puskás Akadémia,"Cape Verde,Hungary",
Rabotnički,North Macedonia,
Raja Casablanca,Jordan,
Roskilde,Iceland,
Rotherham United,Curaçao,
SJK,Cape Verde,
SPAL,"Poland,Senegal",
SV Sandhausen,Iceland,
Salernitana,"Poland,Senegal,Slovakia,Tunisia",
San Carlos,Costa Rica,
San Lorenzo,Paraguay,
Sandefjord,Iceland,
Sangju Sangmu,South Korea,
Saprissa,"Costa Rica,Panama",
Selangor,Jordan,
Shabab Al Ahli,Iran,
Shabab Al-Ahli,Iran,
Shandong Luneng Taishan,Australia,
Sheffield Wednesday,"Czech Republic,Republic of Ireland",
Spartak Moscow,"Czech Republic,DR Congo,Netherlands,Russia,Serbia,Sweden",
Spezia,"Hungary,Poland,Wales",
Sporting Kansas City,United States,
St Johnstone,"Canada,Northern Ireland",
St Mirren,Australia,
St Patrick's Athletic,Ghana,
St. Gallen,Ghana,
Stabæk,Ivory Coast,
Stade Nyonnais,Algeria,
Strømsgodset,Ghana,
Surkhon Termiz,Uzbekistan,
Suwon Samsung Bluewings,"Australia,South Korea",
Swindon Town,"Australia,Wales",
Südtirol,Slovenia,
TSC,Serbia,
Talleres,"Ecuador,Paraguay",
Tapachula,Panama,
Tatran Prešov,Haiti,
Terek Grozny,Russia,
Terengganu,Curaçao,
Tianjin Quanjian,Belgium,
Tianjin TEDA,Nigeria,
Torreense,Cape Verde,
UANL,"Argentina,France,Uruguay",
UNAM,"Brazil,Panama",
UTC,Peru,
Ulsan HD,"Hungary,South Korea",
Umm Salal,Iran,
Universitario,Peru,
VVV-Venlo,Curaçao,
Vaduz,Albania,
Valladolid,"Ecuador,Morocco",
Valur,Iceland,
Vejle,"Iran,Slovenia,Sweden",
Veracruz,Peru,
VfR Aalen,Bosnia and Herzegovina,
Videoton,Hungary,
Volyn Lutsk,Nigeria,
Waasland-Beveren,"Nigeria,Sweden",
Wellington Phoenix,New Zealand,
West Bromwich Albion,"Austria,Belgium,Egypt,England,Northern Ireland,Poland,Republic of Ireland,Turkey,Uruguay,Wales",
Western Sydney Wanderers,"Australia,New Zealand",
Wrexham,"New Zealand,Scotland",
Yeni Malatyaspor,Morocco,
Zhejiang,South Korea,
Zob Ahan,Iran,
[ 10 ],Cameroon,
[ 100 ],Switzerland,
[ 101 ],Switzerland,
[ 102 ],Switzerland,
[ 103 ],Switzerland,
[ 104 ],Switzerland,
[ 105 ],Switzerland,
[ 106 ],Switzerland,
[ 107 ],Switzerland,
[ 11 ],Cameroon,
[ 110 ],Argentina,
[ 111 ],Argentina,
[ 113 ],Bosnia and Herzegovina,
[ 114 ],Bosnia and Herzegovina,
[ 115 ],Bosnia and Herzegovina,
[ 117 ],Iran,
[ 118 ],Iran,
[ 12 ],Cameroon,
[ 121 ],Nigeria,
[ 122 ],Nigeria,
[ 123 ],Nigeria,
[ 124 ],Nigeria,
[ 125 ],Nigeria,
[ 13 ],Cameroon,
[ 131 ],Ghana,
[ 132 ],Ghana,
[ 133 ],Ghana,
[ 134 ],Ghana,
[ 135 ],Ghana,
[ 138 ],Portugal,
[ 139 ],Portugal,
[ 14 ],Cameroon,
[ 141 ],United States,
[ 143 ],Algeria,
[ 146 ],Belgium,
[ 147 ],Belgium,
[ 15 ],Cameroon,
[ 150 ],Russia,
[ 151 ],Russia,
[ 152 ],Russia,
[ 156 ],South Korea,
[ 157 ],South Korea,
[ 158 ],South Korea,
[ 16 ],Cameroon,
[ 17 ],Cameroon,
[ 18 ],Cameroon,
[ 21 ],Croatia,
[ 22 ],Croatia,
[ 23 ],Croatia,
[ 24 ],Croatia,
[ 28 ],Mexico,
[ 29 ],Mexico,
[ 30 ],Mexico,
[ 31 ],Mexico,
[ 32 ],Mexico,
[ 33 ],Mexico,
[ 34 ],Mexico,
[ 36 ],Australia,
[ 37 ],Australia,
[ 38 ],Australia,
[ 40 ],Chile,
[ 41 ],Chile,
[ 42 ],Chile,
[ 43 ],Chile,
[ 44 ],Chile,
[ 48 ],Spain,
[ 49 ],Spain,
[ 50 ],Spain,
[ 53 ],Colombia,
[ 54 ],Colombia,
[ 56 ],Greece,
[ 57 ],Greece,
[ 58 ],Greece,
[ 60 ],Ivory Coast,
[ 65 ],Costa Rica,
[ 66 ],Costa Rica,
[ 7 ],Brazil,
[ 71 ],England,
[ 72 ],England,
[ 73 ],England,
[ 74 ],England,
[ 77 ],Italy,
[ 78 ],Italy,
[ 8 ],Brazil,
[ 80 ],Uruguay,
[ 81 ],Uruguay,
[ 82 ],Uruguay,
[ 86 ],Ecuador,
[ 91 ],France,
[ 93 ],France,
[ 96 ],Honduras,
Çaykur Rizespor,"Haiti,Ivory Coast,Nigeria,Turkey",
Östersund,Iran,
